title,text
Insurance Requirements for Works and Contractor's Equipment," sub-paragraph(a) of Sub-Clause 18.1 [ General Requirements for Insurances ], until the date of issue
of the Taking-Over Certificate for the Works.
The insuring Party shall maintain this insurance to provide cover until the date of issue
of the Performance Certificate, for loss or damage for which the Contractor is liablearising from a cause occurring prior to the issue of the Taking-Over Certificate, and forloss or damage caused by the Contractor in the course of any other operations(including those under Clause 11 [ Defects Liability ]).
The insuring Party shall insure the Contractor’s Equipment for not less than the full
replacement value, including delivery to Site. For each item of Contractor’s Equipment,the insurance shall be effective while it is being transported to the Site and until it isno longer required as Contractor’s Equipment.
Unless otherwise stated in the Particular Conditions, insurances under this Sub-Clause:(a) shall be effected and maintained by the Contractor as insuring Party,
(b) shall be in the joint names of the Parties, who shall be jointly entitled to receive
payments from the insurers, payments being held or allocated between theParties for the sole purpose of rectifying the loss or damage,
(c) shall cover all loss and damage from any cause not listed in Sub-Clause 17.3
[Employer’s Risks ],
(d) shall also cover loss or damage to a part of the Works which is attributable to
the use or occupation by the Employer of another part of the Works, and loss18.2
Insurance for Works and 
Contractor’s Equipment
## 60 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
or damage from the risks listed in sub-paragraphs (c), (g) and (h) of Sub-Clause
## 17 3 [ Employer’s Risks ], excluding (in each case) risks which are not insurable
at commercially reasonable terms, with deductibles per occurrence of not morethan the amount stated in the Contract Data (if an amount is not so stated, thissub-paragraph (d) shall not apply), and
(e) may however exclude loss of, damage to, and reinstatement of:
(i) a part of the Works which is in a defective condition due to a defect in
its design, materials or workmanship (but cover shall include any otherparts which are lost or damaged as a direct result of this defectivecondition and not as described in sub-paragraph (ii) below),
(ii) a part of the Works which is lost or damaged in order to reinstate any
other part of the Works if this other part is in a defective condition due toa defect in its design,"
Insurance Obligations and Liabilities in Contract Performance,"-paragraph (ii) below),
(ii) a part of the Works which is lost or damaged in order to reinstate any
other part of the Works if this other part is in a defective condition due toa defect in its design, materials or workmanship,
(iii) a part of the Works which has been taken over by the Employer, except
to the extent that the Contractor is liable for the loss or damage, and
(iv) Goods while they are not in the Country, subject to Sub-Clause 14.5
[Plant and Materials intended for the Works ]. 
If, more than one year after the Base Date, the cover described in sub-paragraph (d)
above ceases to be available at commercially reasonable terms, the Contractor shall(as insuring Party) give notice to the Employer, with supporting particulars. TheEmployer shall then (i) be entitled subject to Sub-Clause 2.5 [ Employer’s Claims ] to
payment of an amount equivalent to such commercially reasonable terms as theContractor should have expected to have paid for such cover, and (ii) be deemed,unless he obtains the cover at commercially reasonable terms, to have approved theomission under Sub-Clause 18.1 [ General Requirements for Insurances ].
The insuring Party shall insure against each Party’s liability for any loss, damage, death
or bodily injury which may occur to any physical property (except things insured underSub-Clause 18.2 [ Insurance for Works and Contractor’s Equipment ]) or to any person
(except persons insured under Sub-Clause 18.4 [ Insurance for Contractor’s
Personnel ]), which may arise out of the Contractor’s performance of the Contract and
occurring before the issue of the Performance Certificate.
This insurance shall be for a limit per occurrence of not less than the amount stated
in the Contract Data, with no limit on the number of occurrences. If an amount is notstated in the Contract Data, this Sub-Clause shall not apply.
Unless otherwise stated in the Particular Conditions, the insurances specified in this
Sub-Clause:
(a) shall be effected and maintained by the Contractor as insuring Party,
(b) shall be in the joint names of the Parties,(c) shall be extended to cover liability for all loss and damage to the Employer’s
property (except things insured under Sub-Clause 18.2) arising out of theContractor’s performance of the Contract, and
(d) may however exclude liability to the extent that it arises from:
(i) the Employer’s right to have the Permanent Works executed on, over, under,
in or through any land, and to occupy this land for the Permanent Works,
("
Insurance and Liability Provisions in Construction Contracts," to the extent that it arises from:
(i) the Employer’s right to have the Permanent Works executed on, over, under,
in or through any land, and to occupy this land for the Permanent Works,
(ii) damage which is an unavoidable result of the Contractor’s obligations to
execute the Works and remedy any defects, and
(iii) a cause listed in Sub-Clause 17.3 [ Employer’s Risks ], except to the
extent that cover is available at commercially reasonable terms.18.3
Insurance against Injury 
to Persons and Damageto Property
The Contractor shall effect and maintain insurance against liability for claims,
damages, losses and expenses (including legal fees and expenses) arising from injury,sickness, disease or death of any person employed by the Contractor or any other ofthe Contractor’s Personnel.
The Employer and the Engineer shall also be indemnified under the policy of
insurance, except that this insurance may exclude losses and claims to the extent thatthey arise from any act or neglect of the Employer or of the Employer’s Personnel.
The insurance shall be maintained in full force and effect during the whole time that
these personnel are assisting in the execution of the Works. For a Subcontractor’semployees, the insurance may be effected by the Subcontractor, but the Contractorshall be responsible for compliance with this Clause.
In this Clause, “Force Majeure” means an exceptional event or circumstance:
(a) which is beyond a Party’s control,
(b) which such Party could not reasonably have provided against before entering
into the Contract,
(c) which, having arisen, such Party could not reasonably have avoided or
overcome, and
(d) which is not substantially attributable to the other Party.
Force Majeure may include, but is not limited to, exceptional events or circumstances
of the kind listed below, so long as conditions (a) to (d) above are satisfied:
(i) war, hostilities (whether war be declared or not), invasion, act of foreign
enemies,
(ii) rebellion, terrorism, sabotage by persons other than the Contractor’s
Personnel, revolution, insurrection, military or usurped power, or civil war,
(iii) riot, commotion, disorder, strike or lockout by persons other than the
Contractor’s Personnel,
(iv) munitions of war, explosive materials, ionising radiation or contamination
by radio-activity, except as may be attributable to the Contractor’s use ofsuch munitions, explosives, radiation or radio-activity, and
(v) natural catastrophes such as earthquake, hurricane, typhoon or volcanic
activity.
If a Party"
"Force Majeure: Definitions, Notices, and Contractor Rights"," as may be attributable to the Contractor’s use ofsuch munitions, explosives, radiation or radio-activity, and
(v) natural catastrophes such as earthquake, hurricane, typhoon or volcanic
activity.
If a Party is or will be prevented from performing its substantial obligations under the
Contract by Force Majeure, then it shall give notice to the other Party of the event orcircumstances constituting the Force Majeure and shall specify the obligations, theperformance of which is or will be prevented. The notice shall be given within 14 daysafter the Party became aware, or should have become aware, of the relevant event orcircumstance constituting Force Majeure.
The Party shall, having given notice, be excused performance of its obligations for so
long as such Force Majeure prevents it from performing them.
Notwithstanding any other provision of this Clause, Force Majeure shall not apply to
obligations of either Party to make payments to the other Party under the Contract.18.4
Insurance forContractor’s Personnel
## 19 1
Definition of Force Majeure
## 19 2
Notice of Force Majeure19Force Majeure
## 62 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
Each Party shall at all times use all reasonable endeavours to minimise any delay in
the performance of the Contract as a result of Force Majeure.
A Party shall give notice to the other Party when it ceases to be affected by the Force
Majeure.
If the Contractor is prevented from performing his substantial obligations under the
Contract by Force Majeure of which notice has been given under Sub-Clause 19.2[Notice of Force Majeure ], and suffers delay and/or incurs Cost by reason of such
Force Majeure, the Contractor shall be entitled subject to Sub-Clause 20.1[Contractor’s Claims ] to:
(a) an extension of time for any such delay, if completion is or will be delayed,
under Sub-Clause 8.4 [ Extension of Time for Completion ], and
(b) if the event or circumstance is of the kind described in sub-paragraphs (i) to (iv)
of Sub-Clause 19.1 [ Definition of Force Majeure ] and, in the case of sub-
paragraphs (ii) to (iv), occurs in the Country, payment of any such Cost.
After receiving this notice, the Engineer shall proceed in accordance with Sub-Clause
## 3 5 [Determinations ] to agree or determine these matters.
If any Subcontractor is entitled under any contract or agreement relating to the Works
to relief from force majeure on terms additional to or broader than those specified in"
Force Majeure: Contractual Obligations and Termination Procedures,"## 3 5 [Determinations ] to agree or determine these matters.
If any Subcontractor is entitled under any contract or agreement relating to the Works
to relief from force majeure on terms additional to or broader than those specified inthis Clause, such additional or broader force majeure events or circumstances shallnot excuse the Contractor’s non-performance or entitle him to relief under this Clause.
If the execution of substantially all the Works in progress is prevented for a continuous
period of 84 days by reason of Force Majeure of which notice has been given underSub-Clause 19.2 [ Notice of Force Majeure ], or for multiple periods which total more
than 140 days due to the same notified Force Majeure, then either Party may give tothe other Party a notice of termination of the Contract. In this event, the terminationshall take effect 7 days after the notice is given, and the Contractor shall proceed inaccordance with Sub-Clause 16.3 [ Cessation of Work and Removal of Contractor’s
Equipment ].
Upon such termination, the Engineer shall determine the value of the work done and
issue a Payment Certificate which shall include:
(a) the amounts payable for any work carried out for which a price is stated in the
Contract;
(b) the Cost of Plant and Materials ordered for the Works which have been
delivered to the Contractor, or of which the Contractor is liable to acceptdelivery: this Plant and Materials shall become the property of (and be at therisk of) the Employer when paid for by the Employer, and the Contractor shallplace the same at the Employer’s disposal;
(c) other Costs or liabilities which in the circumstances were reasonably and
necessarily incurred by the Contractor in the expectation of completing theWorks;
(d) the Cost of removal of Temporary Works and Contractor’s Equipment from the
Site and the return of these items to the Contractor’s works in his country (orto any other destination at no greater cost); and
(e) the Cost of repatriation of the Contractor’s staff and labour employed wholly in
connection with the Works at the date of termination.19.3
Duty to Minimise Delay
## 19 4
Consequences of Force
Majeure
## 19 5
Force Majeure Affecting 
Subcontractor
## 19 6
Optional Termination, 
Payment and Release
Notwithstanding any other provision of this Clause, if any event or circumstance
outside the control of the Parties (including, but not limited to, Force Majeure) ariseswhich makes it impossible or unlawful for either or both Parties to fulfil its or theircontractual obligations or which, under the law governing the Contract, entitles theParties to"
Contractual Obligations and Claims in Force Majeure Events," Parties (including, but not limited to, Force Majeure) ariseswhich makes it impossible or unlawful for either or both Parties to fulfil its or theircontractual obligations or which, under the law governing the Contract, entitles theParties to be released from further performance of the Contract, then upon notice byeither Party to the other Party of such event or circumstance:
(a) the Parties shall be discharged from further performance, without prejudice to
the rights of either Party in respect of any previous breach of the Contract, and
(b) the sum payable by the Employer to the Contractor shall be the same as would
have been payable under Sub-Clause 19.6 [ Optional Termination, Payment
and Release ] if the Contract had been terminated under Sub-Clause 19.6.
If the Contractor considers himself to be entitled to any extension of the Time for
Completion and/or any additional payment, under any Clause of these Conditionsor otherwise in connection with the Contract, the Contractor shall give notice to theEngineer, describing the event or circumstance giving rise to the claim. The noticeshall be given as soon as practicable, and not later than 28 days after theContractor became aware, or should have become aware, of the event orcircumstance.
If the Contractor fails to give notice of a claim within such period of 28 days, the Time
for Completion shall not be extended, the Contractor shall not be entitled to additionalpayment, and the Employer shall be discharged from all liability in connection with theclaim. Otherwise, the following provisions of this Sub-Clause shall apply.
The Contractor shall also submit any other notices which are required by the Contract,
and supporting particulars for the claim, all as relevant to such event or circumstance.
The Contractor shall keep such contemporary records as may be necessary to
substantiate any claim, either on the Site or at another location acceptable to theEngineer. Without admitting the Employer’s liability, the Engineer may, after receivingany notice under this Sub-Clause, monitor the record-keeping and/or instruct theContractor to keep further contemporary records. The Contractor shall permit theEngineer to inspect all these records, and shall (if instructed) submit copies to theEngineer.
Within 42 days after the Contractor became aware (or should have become aware) of
the event or circumstance giving rise to the claim, or within such other period as maybe proposed by the Contractor and approved by the Engineer, the Contractor shallsend to the Engineer a fully detailed claim which includes full supporting particulars ofthe basis of the claim and of the extension of time and/or additional payment claimed.If the event or circumstance giving rise to the claim has a continuing effect:
(a) this fully detailed claim shall be considered as interim;
(b) the Contractor shall send further interim"
Contractor Claims and Dispute Resolution Procedures," extension of time and/or additional payment claimed.If the event or circumstance giving rise to the claim has a continuing effect:
(a) this fully detailed claim shall be considered as interim;
(b) the Contractor shall send further interim claims at monthly intervals, giving the
accumulated delay and/or amount claimed, and such further particulars as theEngineer may reasonably require; and
(c) the Contractor shall send a final claim within 28 days after the end of the effects
resulting from the event or circumstance, or within such other period as may beproposed by the Contractor and approved by the Engineer.19.7
Release fromPerformance
## 20 1
Contractor’s Claims
## 20 Claims, Disputes and Arbitration
## 64 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
Within 42 days after receiving a claim or any further particulars supporting a previous
claim, or within such other period as may be proposed by the Engineer and approvedby the Contractor, the Engineer shall respond with approval, or with disapproval anddetailed comments. He may also request any necessary further particulars, but shallnevertheless give his response on the principles of the claim within such time.
Each Payment Certificate shall include such amounts for any claim as have been
reasonably substantiated as due under the relevant provision of the Contract. Unlessand until the particulars supplied are sufficient to substantiate the whole of the claim,the Contractor shall only be entitled to payment for such part of the claim as he hasbeen able to substantiate.
The Engineer shall proceed in accordance with Sub-Clause 3.5 [ Determinations ] to
agree or determine (i) the extension (if any) of the Time for Completion (before or afterits expiry) in accordance with Sub-Clause 8.4 [ Extension of Time for Completion ],
and/or (ii) the additional payment (if any) to which the Contractor is entitled under theContract.
The requirements of this Sub-Clause are in addition to those of any other Sub-Clause
which may apply to a claim. If the Contractor fails to comply with this or another Sub-Clause in relation to any claim, any extension of time and/or additional payment shalltake account of the extent (if any) to which the failure has prevented or prejudicedproper investigation of the claim, unless the claim is excluded under the secondparagraph of this Sub-Clause.
Disputes shall be referred to a DB for decision in accordance with Sub-Clause 20.4
[Obtaining Dispute Board’s Decision ]. The Parties shall appoint a DB by the date
stated in the Contract Data.
The DB shall comprise, as stated in the Contract Data, either one or three suitably
qualified persons (“the members”"
Dispute Board Appointment Procedures and Conditions,"’s Decision ]. The Parties shall appoint a DB by the date
stated in the Contract Data.
The DB shall comprise, as stated in the Contract Data, either one or three suitably
qualified persons (“the members”), each of whom shall be fluent in the language forcommunication defined in the Contract and shall be a professional experienced in thetype of construction involved in the Works and with the interpretation of contractualdocuments. If the number is not so stated and the Parties do not agree otherwise, theDB shall comprise three persons, one of whom shall serve as chairman.
If the Parties have not jointly appointed the DB 21 days before the date stated in the
Contract Data and the DB is to comprise three persons, each Party shall nominateone member for the approval of the other Party. The first two members shallrecommend and the Parties shall agree upon the third member, who shall act aschairman.
The agreement between the Parties and either the sole member or each of the three
members shall incorporate by reference the General Conditions of Dispute BoardAgreement contained in the Appendix to these General Conditions, with suchamendments as are agreed between them.
The terms of the remuneration of either the sole member or each of the three
members, including the remuneration of any expert whom the DB consults, shall bemutually agreed upon by the Parties when agreeing the terms of appointment of themember or such expert (as the case may be). Each Party shall be responsible forpaying one-half of this remuneration.
If a member declines to act or is unable to act as a result of death, disability,
resignation or termination of appointment, a replacement shall be appointed in the20.2
Appointment of the 
Dispute Board
same manner as the replaced person was required to have been nominated or agreed
upon, as described in this Sub-Clause.
The appointment of any member may be terminated by mutual agreement of both
Parties, but not by the Employer or the Contractor acting alone. Unless otherwiseagreed by both Parties, the appointment of the DB (including each member) shallexpire when the discharge referred to in Sub-Clause 14.12 [ Discharge ] shall have
become effective.
If any of the following conditions apply, namely:
(a) the Parties fail to agree upon the appointment of the sole member of the DB by
the date stated in the first paragraph of Sub-Clause 20.2 [ Appointment of the
Dispute Board ],
(b) either Party fails to nominate a member (for approval by the other Party) or fails
to approve a member nominated by the other Party, of a DB of three personsby such date,
(c) the Parties fail to agree upon the appointment of the third member (to act as
chairman) of the DB by"
Dispute Resolution Process and Board Appointment Procedures," fails
to approve a member nominated by the other Party, of a DB of three personsby such date,
(c) the Parties fail to agree upon the appointment of the third member (to act as
chairman) of the DB by such date, or
(d) the Parties fail to agree upon the appointment of a replacement person within
## 42 days after the date on which the sole member or one of the three membersdeclines to act or is unable to act as a result of death, disability, resignation ortermination of appointment,
then the appointing entity or official named in the Contract Data shall, upon the
request of either or both of the Parties and after due consultation with both Parties,appoint this member of the DB. This appointment shall be final and conclusive. EachParty shall be responsible for paying one-half of the remuneration of the appointingentity or official.
If a dispute (of any kind whatsoever) arises between the Parties in connection with, or
arising out of, the Contract or the execution of the Works, including any dispute as toany certificate, determination, instruction, opinion or valuation of the Engineer, eitherParty may refer the dispute in writing to the DB for its decision, with copies to the otherParty and the Engineer. Such reference shall state that it is given under this Sub-Clause.
For a DB of three persons, the DB shall be deemed to have received such reference
on the date when it is received by the chairman of the DB.
Both Parties shall promptly make available to the DB all such additional information,
further access to the Site, and appropriate facilities, as the DB may require for thepurposes of making a decision on such dispute. The DB shall be deemed to be notacting as arbitrator(s).
Within 84 days after receiving such reference, or within such other period as may be
proposed by the DB and approved by both Parties, the DB shall give its decision, whichshall be reasoned and shall state that it is given under this Sub-Clause. The decisionshall be binding on both Parties, who shall promptly give effect to it unless and until itshall be revised in an amicable settlement or an arbitral award as described below.Unless the Contract has already been abandoned, repudiated or terminated, theContractor shall continue to proceed with the Works in accordance with the Contract.
If either Party is dissatisfied with the DB’s decision, then either Party may, within 28
days after receiving the decision, give notice to the other Party of its dissatisfaction20.3
Failure to Agree on the
Composition of theDispute Board
## 20 4
Obtaining Dispute 
Board’s Decision
## 66 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
## 20 5
Amicable
Settlement
## 20 6Arbitration
"
Dispute Resolution Process and Arbitration Guidelines,"taining Dispute 
Board’s Decision
## 66 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
## 20 5
Amicable
Settlement
## 20 6Arbitration
## 20 7
Failure to Comply with 
Dispute Board’s Decisionand intention to commence arbitration. If the DB fails to give its decision within the
period of 84 days (or as otherwise approved) after receiving such reference, theneither Party may, within 28 days after this period has expired, give notice to the otherParty of its dissatisfaction and intention to commence arbitration.
In either event, this notice of dissatisfaction shall state that it is given under this Sub-
Clause, and shall set out the matter in dispute and the reason(s) for dissatisfaction.Except as stated in Sub-Clause 20.7 [ Failure to Comply with Dispute Board’s
Decision ] and Sub-Clause 20.8 [ Expiry of Dispute Board’s Appointment ], neither
Party shall be entitled to commence arbitration of a dispute unless a notice ofdissatisfaction has been given in accordance with this Sub-Clause.
If the DB has given its decision as to a matter in dispute to both Parties, and no notice
of dissatisfaction has been given by either Party within 28 days after it received theDB’s decision, then the decision shall become final and binding upon both Parties.
Where notice of dissatisfaction has been given under Sub-Clause 20.4 above, both
Parties shall attempt to settle the dispute amicably before the commencement ofarbitration. However, unless both Parties agree otherwise, arbitration may becommenced on or after the fifty-sixth day after the day on which a notice ofdissatisfaction and intention to commence arbitration was given, even if no attempt atamicable settlement has been made.
Unless settled amicably, any dispute in respect of which the DB’s decision (if any) has
not become final and binding shall be finally settled by international arbitration. Unlessotherwise agreed by both Parties:
(a) arbitration proceedings shall be conducted as stated in the Particular
Conditions,
(b) if no arbitration proceedings are so stated, the dispute shall be finally settled by
institutional arbitration under the Rules of Arbitration of the InternationalChamber of Commerce,
(c) the dispute shall be settled by three arbitrators, and(d) the arbitration shall be conducted in the language for communications defined
in Sub-Clause 1.4 [ Law and Language ].
The arbitrators shall have full power to open up, review and revise any certificate,
determination, instruction, opinion or valuation of the Engineer, and any decision of theDB, relevant to the dispute. Nothing shall disqualify the Engineer from being called asa witness and giving evidence"
Arbitration Procedures and Dispute Board Agreements Explained," power to open up, review and revise any certificate,
determination, instruction, opinion or valuation of the Engineer, and any decision of theDB, relevant to the dispute. Nothing shall disqualify the Engineer from being called asa witness and giving evidence before the arbitrators on any matter whatsoeverrelevant to the dispute.
Neither Party shall be limited in the proceedings before the arbitrators to the evidence
or arguments previously put before the DB to obtain its decision, or to the reasons fordissatisfaction given in its notice of dissatisfaction. Any decision of the DB shall beadmissible in evidence in the arbitration.
Arbitration may be commenced prior to or after completion of the Works. The
obligations of the Parties, the Engineer and the DB shall not be altered by reason ofany arbitration being conducted during the progress of the Works.
In the event that a Party fails to comply with a DB decision which has become final
and binding, then the other Party may, without prejudice to any other rights it may
have, refer the failure itself to arbitration under Sub-Clause 20.6 [ Arbitration ]. Sub-
Clause 20.4 [ Obtaining Dispute Board’s Decision ] and Sub-Clause 20.5 [ Amicable
Settlement ] shall not apply to this reference.
If a dispute arises between the Parties in connection with, or arising out of, the
Contract or the execution of the Works and there is no DB in place, whether by reasonof the expiry of the DB’s appointment or otherwise:
(a) Sub-Clause 20.4 [ Obtaining Dispute Board’s Decision ] and Sub-Clause 20.5
[Amicable Settlement ] shall not apply, and
(b) the dispute may be referred directly to arbitration under Sub-Clause 20.6
[Arbitration ].20.8
Expiry of Dispute 
Board’s Appointment
## 68 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
APPENDIX
General Conditions of Dispute Board Agreement
Each “Dispute Board Agreement” is a tripartite agreement by and between:
(a) the “Employer”;
(b) the “Contractor”; and(c) the “Member” who is defined in the Dispute Board Agreement as being:
(i) the sole member of the “DB” and, where this is the case, all references
to the ""Other Members” do not apply, or
(ii) one of the three persons who are jointly called the “DB” (or “Dispute
Board”) and, where this is the case, the other two persons are called the“Other Members”.
The Employer and"
Dispute Board Agreement: Roles and Responsibilities Explained," persons who are jointly called the “DB” (or “Dispute
Board”) and, where this is the case, the other two persons are called the“Other Members”.
The Employer and the Contractor have entered (or intend to enter) into a contract,
which is called the “Contract” and is defined in the Dispute Board Agreement, whichincorporates this Appendix. In the Dispute Board Agreement, words and expressionswhich are not otherwise defined shall have the meanings assigned to them in theContract.
Unless otherwise stated in the Dispute Board Agreement, it shall take effect on the
latest of the following dates:
(a) the Commencement Date defined in the Contract,
(b) when the Employer, the Contractor and the Member have each signed the
Dispute Board Agreement, or
(c) when the Employer, the Contractor and each of the Other Members (if any)
have respectively each signed a dispute board agreement.
This employment of the Member is a personal appointment. At any time, the Member
may give not less than 70 days’ notice of resignation to the Employer and to theContractor, and the Dispute Agreement shall terminate upon the expiry of this period.
The Member warrants and agrees that he/she is and shall be impartial and
independent of the Employer, the Contractor and the Engineer. The Member shallpromptly disclose, to each of them and to the Other Members (if any), any fact orcircumstance which might appear inconsistent with his/her warranty and agreementof impartiality and independence.
When appointing the Member, the Employer and the Contractor relied upon the
Member’s representations that he/she is:
(a) experienced in the work which the Contractor is to carry out under the
Contract,
(b) experienced in the interpretation of contract documentation, and(c) fluent in the language for communications defined in the Contract.
The Member shall:1
Definitions
# General Provisions
## 3 Warranties
## 4 General Obligations of
the Member
(a) have no interest financial or otherwise in the Employer, the Contractor or
Engineer, nor any financial interest in the Contract except for payment under theDispute Board Agreement;
(b) not previously have been employed as a consultant or otherwise by the
Employer, the Contractor or the Engineer, except in such circumstances aswere disclosed in writing to the Employer and the Contractor before theysigned the Dispute Board Agreement;
(c) have disclosed in writing to the Employer, the Contractor and the Other
Members (if any), before entering into the Dispute Board Agreement and tohis/her best knowledge and recollection, any professional or personalrelationships with any director, officer or"
Dispute Board Agreement: Member Responsibilities and Restrictions," disclosed in writing to the Employer, the Contractor and the Other
Members (if any), before entering into the Dispute Board Agreement and tohis/her best knowledge and recollection, any professional or personalrelationships with any director, officer or employee of the Employer, theContractor or the Engineer, and any previous involvement in the overall projectof which the Contract forms part;
(d) not, for the duration of the Dispute Board Agreement, be employed as a
consultant or otherwise by the Employer, the Contractor or the Engineer, exceptas may be agreed in writing by the Employer, the Contractor and the OtherMembers (if any);
(e) comply with the annexed procedural rules and with Sub-Clause 20.4 of the
Conditions of Contract;
(f) not give advice to the Employer, the Contractor, the Employer’s Personnel or
the Contractor’s Personnel concerning the conduct of the Contract, other thanin accordance with the annexed procedural rules;
(g) not while a Member enter into discussions or make any agreement with the
Employer, the Contractor or the Engineer regarding employment by any ofthem, whether as a consultant or otherwise, after ceasing to act under theDispute Board Agreement;
(h) ensure his/her availability for all site visits and hearings as are necessary;(i) become conversant with the Contract and with the progress of the Works (and
of any other parts of the project of which the Contract forms part) by studyingall documents received which shall be maintained in a current working file;
(j) treat the details of the Contract and all the DB’s activities and hearings as
private and confidential, and not publish or disclose them without the priorwritten consent of the Employer, the Contractor and the Other Members (if any);and
(k) be available to give advice and opinions, on any matter relevant to the Contract
when requested by both the Employer and the Contractor, subject to theagreement of the Other Members (if any).
The Employer, the Contractor, the Employer’s Personnel and the Contractor’s
Personnel shall not request advice from or consultation with the Member regarding theContract, otherwise than in the normal course of the DB’s activities under the Contractand the Dispute Board Agreement. The Employer and the Contractor shall beresponsible for compliance with this provision, by the Employer’s Personnel and theContractor’s Personnel respectively.
The Employer and the Contractor undertake to each other and to the Member that
the Member shall not, except as otherwise agreed in writing by the Employer, theContractor, the Member and the Other Members (if any):
(a) be appointed as an arbitrator in any arbitration under the Contract;
(b"
Member's Responsibilities and Compensation in Dispute Resolution,"the Member shall not, except as otherwise agreed in writing by the Employer, theContractor, the Member and the Other Members (if any):
(a) be appointed as an arbitrator in any arbitration under the Contract;
(b) be called as a witness to give evidence concerning any dispute before
arbitrator(s) appointed for any arbitration under the Contract; or
(c) be liable for any claims for anything done or omitted in the discharge or
purported discharge of the Member’s functions, unless the act or omission isshown to have been in bad faith.
General Obligations of 
the Employer and the Contractor
## 70 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
The Employer and the Contractor hereby jointly and severally indemnify and hold the
Member harmless against and from claims from which he is relieved from liability underthe preceding paragraph.
Whenever the Employer or the Contractor refers a dispute to the DB under Sub-
Clause 20.4 of the Conditions of Contract, which will require the Member to make asite visit and attend a hearing, the Employer or the Contractor shall provideappropriate security for a sum equivalent to the reasonable expenses to be incurredby the Member. No account shall be taken of any other payments due or paid to theMember.
The Member shall be paid as follows, in the currency named in the Dispute Board
Agreement:
(a) a retainer fee per calendar month, which shall be considered as payment in full
for:
(i) being available on 28 days’ notice for all site visits and hearings;
(ii) becoming and remaining conversant with all project developments and
maintaining relevant files;
(iii) all office and overhead expenses including secretarial services,
photocopying and office supplies incurred in connection with his duties;and
(iv) all services performed hereunder except those referred to in sub-
paragraphs (b) and (c) of this Clause.
The retainer fee shall be paid with effect from the last day of the calendar month
in which the Dispute Board Agreement becomes effective; until the last day ofthe calendar month in which the Taking-Over Certificate is issued for the wholeof the Works.
With effect from the first day of the calendar month following the month in which
the Taking-Over Certificate is issued for the whole of the Works, the retainer feeshall be reduced by one third. This reduced fee shall be paid until the first dayof the calendar month in which the Member resigns or the Dispute BoardAgreement is otherwise terminated.
(b) a daily fee which shall be considered as payment in full for:
(i) each day or part of a day up to a maximum of two days’ travel time in
each direction"
Dispute Board Member Payment and Expense Guidelines," BoardAgreement is otherwise terminated.
(b) a daily fee which shall be considered as payment in full for:
(i) each day or part of a day up to a maximum of two days’ travel time in
each direction for the journey between the Member’s home and the site,or another location of a meeting with the Other Members (if any);
(ii) each working day on Site visits, hearings or preparing decisions; and(iii) each day spent reading submissions in preparation for a hearing.
(c) all reasonable expenses including necessary travel expenses (air fare in less than
first class, hotel and subsistence and other direct travel expenses) incurred inconnection with the Member’s duties, as well as the cost of telephone calls, couriercharges, faxes and telexes: a receipt shall be required for each item in excess offive percent of the daily fee referred to in sub-paragraph (b) of this Clause;
(d) any taxes properly levied in the Country on payments made to the Member
(unless a national or permanent resident of the Country) under this Clause 6.
The retainer and daily fees shall be as specified in the Dispute Board Agreement.
Unless it specifies otherwise, these fees shall remain fixed for the first 24 calendar6
Payment
months, and shall thereafter be adjusted by agreement between the Employer, the
Contractor and the Member, at each anniversary of the date on which the DisputeBoard Agreement became effective.
If the parties fail to agree on the retainer fee or the daily fee, the appointing entity or
official named in the Contract Data shall determine the amount of the fees to beused.
The Member shall submit invoices for payment of the monthly retainer and air fares
quarterly in advance. Invoices for other expenses and for daily fees shall be submittedfollowing the conclusion of a site visit or hearing. All invoices shall be accompanied bya brief description of activities performed during the relevant period and shall beaddressed to the Contractor.
The Contractor shall pay each of the Member’s invoices in full within 56 calendar days
after receiving each invoice and shall apply to the Employer (in the Statements underthe Contract) for reimbursement of one-half of the amounts of these invoices. TheEmployer shall then pay the Contractor in accordance with the Contract.
If the Contractor fails to pay to the Member the amount to which he/she is entitled
under the Dispute Board Agreement, the Employer shall pay the amount due to theMember and any other amount which may be required to maintain the operation ofthe DB; and without prejudice to the Employer’s rights or remedies. In addition to allother rights arising from this default, the Employer shall be entitled to reimbursementof all sums paid in excess of one-half of these payments,"
